municipality,girls_perc,boys_perc,year,latitude,longitude,pop_2020
Enköping,4.5,8.8,2020,59.645668253968296,17.10089841269843,46240
Eskilstuna,2.3,5.2,2016,59.36073281250001,16.51063906250003,106975
Eskilstuna,2.6,5.6,2020,59.36073281250001,16.51063906250003,106975
Eslöv,4.5,6.5,2016,55.83295151515154,13.30019090909091,34123
Eslöv,7.4,9.5,2020,55.83295151515154,13.30019090909091,34123
Essunga,5.2,10.0,2016,58.18809999999999,12.716,5687
Essunga,4.2,9.4,2020,58.18809999999999,12.716,5687
Fagersta,3.5,8.7,2016,59.98356000000001,15.810206666666677,13267
Fagersta,3.7,9.9,2020,59.98356000000001,15.810206666666677,13267
Falkenberg,3.6,6.8,2016,56.911672,12.559922000000002,46051
Falkenberg,6.0,8.2,2020,56.911672,12.559922000000002,46051
Falköping,2.0,3.3,2016,58.13819387755103,13.548389795918368,33238
Falköping,2.4,4.8,2020,58.13819387755103,13.548389795918368,33238
Falun,2.7,6.4,2016,60.60930389610389,15.627106493506478,59528
Falun,5.1,8.3,2020,60.60930389610389,15.627106493506478,59528
Färgelanda,,6.2,2016,58.577557142857145,11.94875,6658
Färgelanda,2.5,7.1,2020,58.577557142857145,11.94875,6658
Filipstad,2.9,6.5,2016,59.70312,14.144959999999994,10503
Filipstad,5.5,8.3,2020,59.70312,14.144959999999994,10503
Finspång,1.4,3.9,2016,58.721284444444464,15.774244444444436,21765
Finspång,1.6,5.2,2020,58.721284444444464,15.774244444444436,21765
Flen,2.5,5.3,2016,59.0603148148148,16.59464814814816,16431
Flen,3.2,6.5,2020,59.0603148148148,16.59464814814816,16431
Forshaga,3.0,6.6,2016,59.56462631578948,13.464584210526317,11524
Forshaga,5.3,6.7,2020,59.56462631578948,13.464584210526317,11524
Gagnef,2.4,6.6,2016,60.4942,14.835116666666666,10378
Gagnef,3.7,7.5,2020,60.4942,14.835116666666666,10378
Gällivare,2.2,4.7,2016,67.14009999999999,20.777861538461536,17462
Gällivare,4.2,5.5,2020,67.14009999999999,20.777861538461536,17462
Gävle,4.6,9.7,2016,60.68316319018404,17.127273619631886,102904
Gävle,4.2,9.9,2020,60.68316319018404,17.127273619631886,102904
Gislaved,0.9,2.4,2016,57.25547446808512,13.531323404255303,29635
Gislaved,2.2,4.7,2020,57.25547446808512,13.531323404255303,29635
Gnesta,3.1,9.9,2016,59.06949333333333,17.29318666666667,11421
Gnesta,6.1,12.9,2020,59.06949333333333,17.29318666666667,11421
Gnosjö,,3.4,2016,57.35650000000002,13.73605882352941,9614
Gnosjö,1.7,4.2,2020,57.35650000000002,13.73605882352941,9614
Göteborg,1.3,3.6,2016,57.701752246603725,11.962127899686593,583056
Göteborg,2.1,4.8,2020,57.701752246603725,11.962127899686593,583056
Götene,3.2,8.0,2016,58.527742307692286,13.454565384615384,13194
Götene,3.9,8.3,2020,58.527742307692286,13.454565384615384,13194
Gotland,4.7,8.0,2016,57.61182236842104,18.332484210526346,60124
Gotland,5.9,9.8,2020,57.61182236842104,18.332484210526346,60124
Grästorp,3.8,8.1,2016,58.32193809523813,12.67415714285714,5685
Grästorp,2.6,9.0,2020,58.32193809523813,12.67415714285714,5685
Grums,2.8,6.2,2016,59.33993333333333,13.126093333333332,9043
Grums,7.3,10.1,2020,59.33993333333333,13.126093333333332,9043
Gullspång,4.6,7.1,2016,58.92280952380954,14.128823809523809,5169
Gullspång,2.5,11.5,2020,58.92280952380954,14.128823809523809,5169
Habo,1.7,4.9,2016,57.92327058823532,14.069270588235293,12589
Habo,1.5,5.6,2020,57.92327058823532,14.069270588235293,12589
Håbo,5.9,12.3,2016,59.56709999999999,17.527800000000006,22019
Håbo,7.4,10.8,2020,59.56709999999999,17.527800000000006,22019
Håbo,7.4,10.8,2020,59.56709999999999,17.527800000000006,22019
Hagfors,2.2,5.9,2016,60.00183478260871,13.645491304347829,11517
Hagfors,2.9,7.5,2020,60.00183478260871,13.645491304347829,11517
Hällefors,2.0,5.3,2016,59.74730526315791,14.562852631578943,6896
Hällefors,2.8,7.0,2020,59.74730526315791,14.562852631578943,6896
Hallsberg,2.5,4.6,2016,59.05205000000005,15.156944117647058,15990
Hallsberg,3.7,4.0,2020,59.05205000000005,15.156944117647058,15990
Hallstahammar,2.4,5.4,2016,59.62515217391307,16.245873913043475,16400
Hallstahammar,4.1,9.3,2020,59.62515217391307,16.245873913043475,16400
Halmstad,3.3,7.3,2016,56.6919489795919,12.871739795918376,103754
Halmstad,4.8,9.7,2020,56.6919489795919,12.871739795918376,103754
Hammarö,2.3,2.5,2016,59.32795294117648,13.489594117647062,16668
Hammarö,2.0,5.5,2020,59.32795294117648,13.489594117647062,16668
